unit,hazard,wst_oper,waste,geo\time,2016,2014,2012,2010,2008,2006,2004
KG_HAB,HAZ,DSP_I,DSP_OTH,IS,: ,: b,: ,: ,: ,: ,: 
KG_HAB,HAZ,DSP_I,INC_OTH,AT,: ,: ,: ,: ,: c,2,2
KG_HAB,HAZ,DSP_I,INC_OTH,BE,: ,: ,: ,: ,2,0,: 
KG_HAB,HAZ,DSP_I,INC_OTH,BG,: ,: ,: ,: ,0,: ,0
KG_HAB,HAZ,DSP_I,INC_OTH,CY,: ,: ,: ,: ,0,0,: 
KG_HAB,HAZ,DSP_I,INC_OTH,CZ,: ,: ,: ,: ,0,0,: c
KG_HAB,HAZ,DSP_I,INC_OTH,DE,: ,: ,: ,: ,2,2,1
KG_HAB,HAZ,DSP_I,INC_OTH,DK,: ,: ,: ,: ,0,: ,: 
KG_HAB,HAZ,DSP_I,INC_OTH,EE,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,EL,: ,: ,: ,: ,0,: ,0
KG_HAB,HAZ,DSP_I,INC_OTH,ES,: ,: ,: ,: ,0,1,0
KG_HAB,HAZ,DSP_I,INC_OTH,EU28,: ,: ,: ,: ,1,1,1
KG_HAB,HAZ,DSP_I,INC_OTH,FI,: ,: ,: ,: ,2,3,: 
KG_HAB,HAZ,DSP_I,INC_OTH,FR,: ,: ,: ,: ,0,: ,0 s
KG_HAB,HAZ,DSP_I,INC_OTH,HR,: ,: ,: ,: ,0,3,0
KG_HAB,HAZ,DSP_I,INC_OTH,HU,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,IE,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,IS,: ,: b,: ,: ,0,: ,0
KG_HAB,HAZ,DSP_I,INC_OTH,IT,: ,: ,: ,: ,0,: ,0
KG_HAB,HAZ,DSP_I,INC_OTH,LT,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,LU,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,LV,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,MK,: ,: ,: ,: ,0,: ,: 
KG_HAB,HAZ,DSP_I,INC_OTH,MT,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,NL,: ,: ,: ,: ,0,0,: 
KG_HAB,HAZ,DSP_I,INC_OTH,NO,: ,: ,: ,: ,1,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,PL,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,PT,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,RO,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,SE,: ,: ,: ,: ,1,0 e,2
KG_HAB,HAZ,DSP_I,INC_OTH,SI,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,SK,: ,: ,: ,: ,0,0,0
KG_HAB,HAZ,DSP_I,INC_OTH,TR,: ,: ,: ,: ,0,0,1
KG_HAB,HAZ,DSP_I,INC_OTH,UK,: ,: ,: ,: ,0,0,1
KG_HAB,HAZ,DSP_I,RCV_OTH,IS,: ,: b,: ,: ,: ,: ,: 
KG_HAB,HAZ,DSP_I,TOTAL,AL,: ,0,: ,: ,: ,: ,: 
KG_HAB,HAZ,DSP_I,TOTAL,AT,: c,8,7,8,9,10,18
KG_HAB,HAZ,DSP_I,TOTAL,BE,23,26,17,15,15,15,19 e
KG_HAB,HAZ,DSP_I,TOTAL,BG,1,1,1,0,7,11,6
KG_HAB,HAZ,DSP_I,TOTAL,CY,0,0,0,0,0,0,3
KG_HAB,HAZ,DSP_I,TOTAL,CZ,7,7,7,5,6,5,3
KG_HAB,HAZ,DSP_I,TOTAL,DE,13,16,14,14,19,16,17
KG_HAB,HAZ,DSP_I,TOTAL,DK,1,1,0,0,0,0,17
KG_HAB,HAZ,DSP_I,TOTAL,EE,0,0,0,0,0,0,0
KG_HAB,HAZ,DSP_I,TOTAL,EL,: ,0,0,0,0,1,0
KG_HAB,HAZ,DSP_I,TOTAL,ES,0,0,0,0,0,2,3
KG_HAB,HAZ,DSP_I,TOTAL,EU28,9 s,9,9,9,10,10,7
KG_HAB,HAZ,DSP_I,TOTAL,FI,8,27,20,26,21,15,18