unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NR,TOTAL,T,HU33	1347294 	1342231 	1334506 	1325527 	1318214 	1308470 	1296278 b	1288654 	1279480 	1271040 	1262936 	1251924 
NR,TOTAL,T,IE01	1125639 	1160174 	1191149 	1215848 	1227429 	1237715 	1241885 	1247029 	1247591 	1250075 	1259673 	1274988 
NR,TOTAL,T,IE02	3082517 	3179944 	3266616 	3305474 	3321999 	3333166 	3347402 	3362750 	3390261 	3427552 	3466613 	3509395 
NR,TOTAL,T,IS00	299891 	307672 	315459 	319368 	317630 	318452 	319575 	321857 	325671 	329100 	332529 	338349 
NR,TOTAL,T,ITC1	4279510 	4285466 	4332069 	4356322 	4362041 	4364309 	4357663 	4374052 	4436798 	4424467 	4404246 	4392526 
NR,TOTAL,T,ITC2	123969 	124654 	125550 	126369 	126686 	126761 	126620 	127844 	128591 	128298 	127329 	126883 
NR,TOTAL,T,ITC3	1574148 	1572551 	1573333 	1577301 	1576443 	1574132 	1567339 	1565127 	1591939 	1583263 	1571053 	1565307 
NR,TOTAL,T,ITC4	9341231 	9393968 	9469841 	9545515 	9600951 	9663872 	9700881 	9794525 	9973397 	10002615 	10008349 	10019166 
NR,TOTAL,T,ITF1	1283830 	1285456 	1297991 	1306029 	1307778 	1307273 	1306416 	1312507 	1333939 	1331574 	1326513 	1322247 
NR,TOTAL,T,ITF2	318297 	317206 	317655 	316955 	315536 	314342 	313145 	313341 	314725 	313348 	312027 	310449 
NR,TOTAL,T,ITF3	5741383 	5737883 	5750281 	5750382 	5758375 	5765850 	5764424 	5769750 	5869965 	5861529 	5850850 	5839084 
NR,TOTAL,T,ITF4	4033405 	4032130 	4040624 	4043827 	4048007 	4053668 	4050072 	4050803 	4090266 	4090105 	4077166 	4063888 
NR,TOTAL,T,ITF5	589480 	585732 	584871 	583556 	581140 	579358 	577562 	576194 	578391 	576619 	573694 	570365 
NR,TOTAL,T,ITF6	1978390 	1967632 	1974058 	1970780 	1966336 	1962856 	1958418 	1958238 	1980533 	1976631 	1970521 	1965128 
NR,TOTAL,T,ITG1	4969155 	4967981 	4981526 	4990588 	4997429 	5005657 	4999854 	4999932 	5094937 	5092080 	5074261 	5056641 
NR,TOTAL,T,ITG2	1634026 	1635648 	1639766 	1642583 	1641347 	1641681 	1637846 	1640379 	1663859 	1663286 	1658138 	1653135 
NR,TOTAL,T,ITH1	479354 	484280 	490035 	494559 	498315 	501815 	504708 	509626 	515714 	518518 	520891 	524256 
NR,TOTAL,T,ITH2	498537 	503147 	509109 	514881 	518796 	522486 	524877 	530308 	536237 	537416 	538223 	538604 
NR,TOTAL,T,ITH3	4701951 	4728911 	4783323 	4827619 	4841933 	4851958 	4853657 	4881756 	4926818 	4927596 	4915123 	4907529 
NR,TOTAL,T,ITH4	1201522 	1205593 	1214346 	1221392 	1221569 	1220849 	1217780 	1221860 	1229363 	1227122 	1221218 	1217872 
NR,TOTAL,T,ITH5	4146766 	4175075 	4222551 	4277139 	4306684 	4331343 	4341240 	4377487 	4446354 	4450508 	4448146 	4448841 
NR,TOTAL,T,ITI1	3570259 	3581920 	3615187 	3641389 	3657340 	3668948 	3667780 	3692828 	3750511 	3752654 	3744398 	3742437 
NR,TOTAL,T,ITI2	853259 	856151 	866930 	875261 	880202 	884010 	883215 	886239 	896742 	894762 	891181 	888908 
NR,TOTAL,T,ITI3	1499237 	1504727 	1521242 	1536302 	1540272 	1541950 	1540688 	1545155 	1553138 	1550796 	1543752 	1538055 
NR,TOTAL,T,ITI4	5246505 	5277633 	5342587 	5401837 	5442963 	5481572 	5500022 	5557276 	5870451 	5892425 	5888472 	5898124 
NR,TOTAL,T,LI00	34905 	35168 	35356 	35589 	35894 	36149 	36475 	36838 	37129 	37366 	37622 	37810 
NR,TOTAL,T,LT00	3289835 	3249983 	3212605 	3183856 	3141976 	3052588 	3003641 	2971905 	2943472 	2921262 	2888558 	2847904 
NR,TOTAL,T,LU00	469086 	476187 	483799 	493500 	502066 	511840 	524853 	537039 	549680 	562958 	576249 	590667 b
NR,TOTAL,T,LV00	2227874 	2208840 	2191810 	2162834 	2120504 	2074605 	2044813 	2023825 	2001468 	1986096 	1968957 	1950116 
NR,TOTAL,T,ME00	613109 	614624 	615543 	617157 	619001 	619850 	620308 	620893 	621521 	622099 	622218 	622387 
NR,TOTAL,T,MK00	2038514 	2041941 	2045177 	2048619 	2052722 	2057284 	2059794 p	2062294 	2065410 	2068864 	2070998 	2073483 
NR,TOTAL,T,MKXX	: 	: 	: 	: 	: 	: 	: 	: 	359 	308 	280 	219 
NR,TOTAL,T,MT00	404999 	405616 	407832 	410926 	414027 	414989 	417546 	422509 	429424 	439691 	450415 	460297 
NR,TOTAL,T,NL11	574042 	573614 	573459 	574092 	576668 	579036 	580875 	581705 	582728 	583942 	583721 	583581 
NR,TOTAL,T,NL12	642230 	642209 	643189 	644811 	646305 	647282 	647214 	646862 	646317 	646257 	646040 	646874 
NR,TOTAL,T,NL13	484481 	486197 	488135 	489918 	490981 	491411 	490807 	489918 	488988 	488576 	488629 	491792 
NR,TOTAL,T,NL21	1113529 	1116374 	1119994 	1125435 	1130345 	1134465 	1137668 	1139350 	1139697 	1140652 	1144280 	1147687 
NR,TOTAL,T,NL22	1975704 	1979059 	1983869 	1991062 	1998936 	2004671 	2010745 	2015791 	2019692 	2026578 	2035351 	2047901 
NR,TOTAL,T,NL23	370656 	374424 	378688 	383449 	387881 	391967 	395525 	398441 	399893 	401791 	404068 	407818 
NR,TOTAL,T,NL31	1180039 	1190604 	1201350 	1210869 	1220910 	1228794 	1237117 	1245294 	1253672 	1263572 	1273613 	1284504 
NR,TOTAL,T,NL32	2606584 	2613070 	2626163 	2646445 	2669084 	2691477 	2709822 	2724300 	2741369 	2761929 	2784854 	2809483 
NR,TOTAL,T,NL33	3458875 	3455097 	3461435 	3481558 	3505611 	3528324 	3552407 	3563935 	3577032 	3600011 	3622303 	3650222 
NR,TOTAL,T,NL34	380186 	380497 	380585 	380984 	381409 	381530 	381407 	381077 	380621 	380726 	381252 	381568 
NR,TOTAL,T,NL41	2415946 	2419042 	2424827 	2434560 	2444158 	2454215 	2463686 	2471011 	2479274 	2488751 	2498749 	2512531 
NR,TOTAL,T,NL42	1131938 	1127805 	1123705 	1122604 	1122701 	1122627 	1123075 	1121891 	1120006 	1117941 	1116260 	1117546 
NR,TOTAL,T,NO01	1039536 	1057794 	1079051 	1103100 	1123359 	1144883 	1169539 	1190365 	1209992 	1232854 	1251687 	1271127 
NR,TOTAL,T,NO02	371715 	371729 	372926 	374359 	375925 	377709 	379938 	380973 	382230 	383985 	384221 	385669 
NR,TOTAL,T,NO03	893858 	900152 	909842 	919900 	928852 	938827 	949963 	960653 	969415 	976682 	984764 	992962 
NR,TOTAL,T,NO04	663995 	673027 	684761 	696166 	706823 	718543 	728934 	741284 	751632 	762031 	768179 	772813 
NR,TOTAL,T,NO05	804239 	808290 	815705 	824865 	835517 	845886 	855399 	866239 	875475 	884316 	890719 	896503 
NR,TOTAL,T,NO06	404097 	407905 	412849 	417437 	422102 	426206 	431340 	437198 	441193 	445838 	449457 	454596 
NR,TOTAL,T,NO07	462779 	462237 	462037 	463425 	465621 	468251 	470757 	474563 	478033 	480787 	481694 	484647 
NR,TOTAL,T,PL11	2577465 	2566198 	2555898 	2548861 	2535866 b	2528674 	2519448 	2510409 	2498861 	2489844 	2479350 	2471620 
NR,TOTAL,T,PL12	5157729 	5171702 	5188488 	5204495 	5217587 b	5240483 	5257680 	5276119 	5292567 	5309778 	5323267 	5341484 
NR,TOTAL,T,PL21	3266187 	3271206 	3279036 	3287136 	3280603 b	3293551 	3303061 	3310450 	3316097 	3324579 	3330031 	3339803 
NR,TOTAL,T,PL22	4685775 	4669137 	4654115 	4645665 	4590630 b	4585758 	4576485 	4566039 	4548177 	4535705 	4520567 	4510528 
NR,TOTAL,T,PL31	2179611 	2172766 	2166213 	2161832 	2161679 b	2156633 	2149487 	2143278 	2134413 	2126310 	2118528 	2112787 
NR,TOTAL,T,PL32	2098263 	2097564 	2097338 	2099495 	2081154 b	2083487 	2083852 	2085063 	2083546 	2084264 	2083496 	2084722 
NR,TOTAL,T,PL33	1285007 	1279838 	1275550 	1272784 	1272156 b	1268145 	1263464 	1259137 	1253041 	1247951 	1241895 	1237518 
NR,TOTAL,T,PL34	1199689 	1196101 	1192660 	1191470 	1176151 b	1175010 	1172366 	1169763 	1165447 	1162369 	1158945 	1156947 
NR,TOTAL,T,PL41	3372417 	3378502 	3386882 	3397617 	3410721 b	3422705 	3430702 	3437751 	3441440 	3447689 	3450966 	3457473 
NR,TOTAL,T,PL42	1694178 	1692838 	1692271 	1692957 	1696985 b	1697166 	1695822 	1694560 	1691400 	1688486 	1684025 	1681246 
NR,TOTAL,T,PL43	1009198 	1008520 	1008481 	1008962 	1009605 b	1010700 	1010421 	1010582 	1008564 	1007442 	1005159 	1004892 
NR,TOTAL,T,PL51	2888232 	2882317 	2878410 	2877059 	2876509 b	2878103 	2876855 	2875180 	2869579 	2868338 	2864624 	2866218 
NR,TOTAL,T,PL52	1047407 	1041941 	1037088 	1033040 	975283 b	972986 	969541 	966167 	960226 	956913 	952557 	950710 
NR,TOTAL,T,PL61	2068253 	2066371 	2066136 	2067918 	2074489 b	2075129 	2074398 	2072655 	2068417 	2065846 	2062006 	2060575 
NR,TOTAL,T,PL62	1428601 	1426883 	1426155 	1427073 	1428496 b	1428620 	1427162 	1425897 	1421264 	1418541 	1414734 	1410641 
NR,TOTAL,T,PL63	2199043 	2203595 	2210920 	2219512 	2234955 b	2245568 	2253048 	2259485 	2264817 	2271559 	2277059 	2285800 
NR,TOTAL,T,PT11	3718061 	3719898 	3719773 	3712554 	3705980 	3693585 b	3687224 	3666234 	3644195 	3621785 e	3603778 e	3584575 
NR,TOTAL,T,PT15	423539 	428798 	434556 	440088 	445824 	451304 b	446140 	444390 	442358 	441468 e	441929 e	441469 
NR,TOTAL,T,PT16	2350150 	2348308 	2345981 	2341807 	2337787 	2331642 b	2316169 	2298938 	2281164 	2263992 e	2256364 e	2243934 
NR,TOTAL,T,PT17	2745623 	2759501 	2775675 	2792105 	2808205 	2822761 b	2827050 	2818388 	2807525 	2809168 e	2812678 e	2821349 
NR,TOTAL,T,PT18	770869 	769333 	767535 	764652 	762068 	758707 b	754385 	748699 	743306 	733370 e	724391 e	718087 
NR,TOTAL,T,PT20	245118 	245671 	246373 	246670 	246900 	246757 b	247194 	247549 	247440 	246353 e	245766 e	245283 
NR,TOTAL,T,PT30	258628 	261079 	263446 	265138 	266715 	267965 b	264236 	263091 	261313 	258686 e	256424 e	254876 
NR,TOTAL,T,RO11	2729181 	2729256 	2724176 	2721468 	2719719 	2717532 	2598877 b	2594823 	2590220 e	2585543 e	2576777 	2568730 
NR,TOTAL,T,RO12	2534378 	2524176 	2524628 	2526062 	2524418 	2522692 	2360578 b	2359405 	2355312 e	2350147 e	2341749 	2332935 
NR,TOTAL,T,RO21	3734946 	3727910 	3722553 	3717621 	3712396 	3703283 	3294204 b	3278798 	3273367 e	3269598 e	3256282 	3239612 
NR,TOTAL,T,RO22	2843624 	2834335 	2825756 	2818346 	2811218 	2802532 	2538949 b	2523354 	2509094 e	2492352 e	2469801 	2446734 
NR,TOTAL,T,RO31	3321392 	3304840 	3292036 	3279786 	3267270 	3253712 	3128799 b	3108150 	3085095 e	3061286 e	3031386 	3003349 
NR,TOTAL,T,RO32	2215701 	2232162 	2242002 	2253093 	2261698 	2267419 	2279145 b	2282244 	2282968 e	2284200 e	2288538 	2287347 
NR,TOTAL,T,RO41	2301833 	2285733 	2270776 	2257752 	2246033 	2232814 	2067357 b	2048702 	2033360 e	2015766 e	1993741 	1973140 
NR,TOTAL,T,RO42	1929158 	1926707 	1926700 	1924488 	1919434 	1913831 	1828087 b	1824598 	1817895 e	1811755 e	1802040 	1792503 
NR,TOTAL,T,SE11	1889945 	1918104 	1949516 	1981263 	2019182 	2054343 	2091473 	2127006 	2163042 	2198044 	2231439 	2269060 
NR,TOTAL,T,SE12	1518077 	1524509 	1534529 	1545587 	1558292 	1569248 	1578097 	1589821 	1605347 	1621566 	1638825 	1664145 
NR,TOTAL,T,SE21	800054 	802247 	805353 	807871 	810066 	811611 	812948 	815792 	819426 	826243 	834276 	847667 
NR,TOTAL,T,SE22	1320160 	1335936 	1351257 	1367017 	1383653 	1396556 	1405912 	1415403 	1426826 	1443065 	1459880 	1483018 
NR,TOTAL,T,SE23	1814323 	1827143 	1838691 	1851702 	1866283 	1879781 	1892328 	1904563 	1921924 	1942677 	1963466 	1992116 
NR,TOTAL,T,SE31	825037 	824853 	825000 	825149 	825931 	826820 	825431 	826272 	829134 	833585 	838747 	848451 
NR,TOTAL,T,SE32	370764 	370998 	370386 	370269 	369708 	369316 	368454 	368182 	368617 	369826 	371273 	374245 
NR,TOTAL,T,SE33	509392 	509467 	508195 	507489 	507567 	507895 	508212 	508854 	510548 	512349 	513111 	516451 
NR,TOTAL,T,SI03	: 	: 	1089757 b	1095836 	1099674 	1098506 	1099196 	1097198 	1094709 	1093545 	1092193 	1091159 
NR,TOTAL,T,SI04	: 	: 	920512 b	936526 	947302 	951683 	956300 	961623 	966376 	969329 	971995 	974736 
NR,TOTAL,T,SK01	592301 	592062 	592824 	594966 	597999 	599931 	606537 	612682 	618380 	625167 	633288 	641892 
NR,TOTAL,T,SK02	1851658 	1847853 	1846283 	1845563 	1842763 	1838786 	1839259 	1838136 	1836664 	1834832 	1832159 	1830751 
NR,TOTAL,T,SK03	1351651 	1350943 	1350263 	1349903 	1350286 	1349286 	1349729 	1348611 	1347233 	1345808 	1343458 	1342287 
NR,TOTAL,T,SK04	1577318 	1582322 	1586694 	1591969 	1599362 	1604443 	1608797 	1611407 	1613672 	1615542 	1617347 	1620413 
NR,TOTAL,T,TR10	: 	: 	12573836 	12697164 	12915158 	13255685 	13624240 	13854740 	14160467 	14377018 	14657434 	14804116 
NR,TOTAL,T,TR21	: 	: 	1458114 	1502358 	1511952 	1521328 	1569388 	1593247 	1613616 	1650735 	1687420 	1726260 
NR,TOTAL,T,TR22	: 	: 	1594441 	1605067 	1617820 	1642720 	1640759 	1654422 	1665089 	1700847 	1700029 	1715969 
NR,TOTAL,T,TR31	: 	: 	3739353 	3795978 	3868308 	3948848 	3965232 	4005459 	4061074 	4113072 	4168415 	4223545 
NR,TOTAL,T,TR32	: 	: 	2620452 	2674760 	2707898 	2739188 	2779765 	2808243 	2851086 	2915188 	2955825 	2997720 
NR,TOTAL,T,TR33	: 	: 	2939517 	2914110 	2940947 	3005558 	2942695 	2965800 	2985153 	2995289 	3013892 	3043846 
NR,TOTAL,T,TR41	: 	: 	3368502 	3442871 	3508133 	3595460 	3637222 	3682037 	3749582 	3809784 	3881624 	3964535 
NR,TOTAL,T,TR42	: 	: 	3048651 	3136555 	3193210 	3246147 	3315463 	3376330 	3448702 	3522353 	3617728 	3719652 
NR,TOTAL,T,TR51	: 	: 	4466756 	4548939 	4650802 	4771716 	4890893 	4965542 	5045083 	5150072 	5270575 	5346518 
NR,TOTAL,T,TR52	: 	: 	2185131 	2200013 	2224547 	2246478 	2272560 	2287705 	2317164 	2349170 	2372740 	2406913 
NR,TOTAL,T,TR61	: 	: 	2460321 	2514175 	2592075 	2685499 	2705254 	2763541 	2833306 	2898240 	2968561 	3017280 
NR,TOTAL,T,TR62	: 	: 	3602588 	3629227 	3703114 	3733124 	3776744 	3808483 	3855034 	3892850 	3928388 	3975522 
NR,TOTAL,T,TR63	: 	: 	2843518 	2907289 	2957713 	3004608 	3013790 	3038983 	3077753 	3115681 	3142990 	3189974 
NR,TOTAL,T,TR71	: 	: 	1481248 	1492804 	1504789 	1496296 	1495630 	1501311 	1510080 	1508199 	1515228 	1546995 
NR,TOTAL,T,TR72	: 	: 	2295679 	2299704 	2326584 	2352971 	2348101 	2351714 	2363390 	2378052 	2379113 	2401245 
NR,TOTAL,T,TR81	: 	: 	1016484 	1020767 	1026825 	1035071 	1019425 	1020108 	1020957 	1019534 	1023593 	1032260 
NR,TOTAL,T,TR82	: 	: 	732790 	737308 	745976 	743029 	739997 	745525 	763570 	756983 	757711 	766303 
NR,TOTAL,T,TR83	: 	: 	2728183 	2719954 	2739487 	2740686 	2717685 	2717970 	2714575 	2717042 	2721221 	2752803 
NR,TOTAL,T,TR90	: 	: 	2488652 	2507387 	2526619 	2516167 	2513021 	2545274 	2553647 	2566840 	2572850 	2645584 
NR,TOTAL,T,TRA1	: 	: 	1075088 	1061287 	1062205 	1068446 	1072848 	1071878 	1062345 	1067560 	1063789 	1078207 
NR,TOTAL,T,TRA2	: 	: 	1137671 	1140575 	1135856 	1133660 	1157546 	1154277 	1145257 	1138766 	1131570 	1123161 
NR,TOTAL,T,TRB1	: 	: 	1598897 	1623891 	1626357 	1625158 	1663811 	1673852 	1681719 	1690843 	1700468 	1711847 
NR,TOTAL,T,TRB2	: 	: 	1959535 	1994165 	2012044 	2022373 	2046027 	2082470 	2092863 	2111068 	2124349 	2115729 
NR,TOTAL,T,TRC1	: 	: 	2261242 	2318281 	2364249 	2414833 	2471979 	2519139 	2570208 	2616082 	2665265 	2715553 
NR,TOTAL,T,TRC2	: 	: 	2983813 	3067052 	3128748 	3192329 	3287197 	3354242 	3409417 	3480715 	3546516 	3613746 
NR,TOTAL,T,TRC3	: 	: 	1925794 	1965419 	1969896 	1985610 	2056997 	2085092 	2116727 	2153921 	2173759 	2179588 
NR,TOTAL,T,UKC1	1152783 	1157100 	1161826 	1165178 	1168781 	1173646 	1176946 	1179483 	1183833 	1188607 e	1190295 e	1193162 
NR,TOTAL,T,UKC2	1397017 	1400142 	1403818 	1407170 	1412315 	1417980 	1422375 	1426855 	1430981 	1437115 e	1441996 e	1445849 
NR,TOTAL,T,UKD1	497890 	499778 	500819 	500823 	500458 	499952 	499421 	498561 	498514 	498765 e	497677 e	496734 
NR,TOTAL,T,UKD3	2573330 	2590604 	2609479 	2630100 	2651011 	2673791 	2693988 	2708724 	2725350 	2745971 e	2765142 e	2783397 
NR,TOTAL,T,UKD4	1443073 	1447726 	1450334 	1452056 	1455120 	1459318 	1463495 	1467257 	1470724 	1475504 e	1479227 e	1482523 
NR,TOTAL,T,UKD6	882454 	887944 	892773 	895916 	898513 	901375 	904434 	907378 	911547 	916305 e	919043 e	921769 
NR,TOTAL,T,UKD7	1489154 	1489503 	1490636 	1493563 	1498042 	1503567 	1508892 	1511939 	1514337 	1519713 e	1526142 e	1530512 
NR,TOTAL,T,UKE1	902286 	905900 	910195 	912723 	914144 	916612 	919611 	921648 	924945 	928319 e	927490 e	928909 
NR,TOTAL,T,UKE2	774256 	778641 	783385 	787264 	791442 	796538 	800816 	803912 	807119 	809768 e	811004 e	813302 
NR,TOTAL,T,UKE3	1296474 	1303030 	1310906 	1319708 	1328405 	1338373 	1348020 	1355190 	1361803 	1370286 e	1378722 e	1385564 
NR,TOTAL,T,UKE4	2148261 	2161542 	2176960 	2191368 	2205139 	2220015 	2234084 	2246494 	2262876 	2279120 e	2289330 e	2302229 
NR,TOTAL,T,UKF1	2039897 	2050500 	2062927 	2076533 	2090780 	2104311 	2116608 	2128752 	2141108 	2156050 e	2168542 e	2179995 
NR,TOTAL,T,UKF2	1626570 	1645620 	1662694 	1676611 	1689857 	1704627 	1719114 	1732767 	1745972 	1763489 e	1785506 e	1802808 
NR,TOTAL,T,UKF3	681410 	689602 	697281 	703231 	708733 	713322 	716837 	721675 	726895 	733602 e	739568 e	744408 
NR,TOTAL,T,UKG1	1256718 	1267120 	1277162 	1284388 	1288952 	1293901 	1299331 	1304463 	1310374 	1318244 e	1324254 e	1329762 
NR,TOTAL,T,UKG2	1522425 	1532695 	1543007 	1551138 	1558437 	1567473 	1575042 	1581053 	1587277 	1595109 e	1600427 e	1606240 
NR,TOTAL,T,UKG3	2618917 	2633824 	2653874 	2676535 	2699492 	2725810 	2751164 	2773057 	2793649 	2819145 e	2847401 e	2870360 
NR,TOTAL,T,UKH1	2281263 	2300885 	2321845 	2341273 	2361712 	2385006 	2404415 	2419478 	2437201 	2458334 e	2477141 e	2492091 
NR,TOTAL,T,UKH2	1640939 	1654898 	1671667 	1688942 	1706697 	1726575 	1745551 	1764359 	1783862 	1807474 e	1832858 e	1851205 
NR,TOTAL,T,UKH3	1662372 	1674214 	1687563 	1699785 	1711120 	1723421 	1735048 	1747002 	1760614 	1779312 e	1795481 e	1808147 
NR,TOTAL,T,UKI3	1067469 	1069622 	1070507 	1074595 	1081014 	1089392 	1098050 	1104820 	1114202 	1127512 e	1154723 e	1166297 
NR,TOTAL,T,UKI4	1906096 	1940802 	1984546 	2032253 	2076113 	2121080 	2165194 	2205600 	2241849 	2285864 e	2351077 e	2390560 
NR,TOTAL,T,UKI5	1617931 	1636886 	1661514 	1689986 	1720016 	1752126 	1778823 	1800530 	1825909 	1854083 e	1881234 e	1905258 
NR,TOTAL,T,UKI6	1167132 	1175104 	1185864 	1197733 	1208538 	1220637 	1235154 	1249693 	1265768 	1281376 e	1293591 e	1305540 
NR,TOTAL,T,UKI7	1800330 	1823786 	1850927 	1883357 	1916940 	1950290 	1979742 	2002334 	2029557 	2056742 e	2078783 e	2100411 
NR,TOTAL,T,UKJ1	2158009 	2178786 	2200859 	2221257 	2242650 	2264895 	2285445 	2305960 	2325786 	2349646 e	2371762 e	2389165 
NR,TOTAL,T,UKJ2	2615748 	2640736 	2665296 	2686149 	2709001 	2733391 	2755118 	2775896 	2797590 	2823367 e	2848968 e	2868537 
NR,TOTAL,T,UKJ3	1828056 	1838375 	1850318 	1862903 	1877812 	1894162 	1908498 	1920443 	1933600 	1948762 e	1961234 e	1972679 
NR,TOTAL,T,UKJ4	1635294 	1653445 	1672669 	1688611 	1705146 	1723082 	1739957 	1756588 	1771388 	1790627 e	1810607 e	1826320 
NR,TOTAL,T,UKK1	2248953 	2269956 	2291124 	2307856 	2324183 	2342716 	2361987 	2381851 	2402035 	2425451 e	2450153 e	2467531 
NR,TOTAL,T,UKK2	1227304 	1237825 	1248807 	1255012 	1261896 	1271821 	1281108 	1288909 	1296411 	1305625 e	1316014 e	1323552 
NR,TOTAL,T,UKK3	518794 	522278 	525791 	527976 	530325 	534024 	538101 	541885 	546571 	551346 e	554342 e	557858 
NR,TOTAL,T,UKK4	1107973 	1115165 	1122091 	1125102 	1127629 	1132530 	1139062 	1145970 	1151660 	1160773 e	1171817 e	1177705 
NR,TOTAL,T,UKL1	1892334 	1902611 	1912884 	1919910 	1924712 	1930295 	1936283 	1940790 	1947856 	1955425 e	1954116 e	1956886 
NR,TOTAL,T,UKL2	1084923 	1093189 	1102960 	1112230 	1119494 	1126355 	1132397 	1137210 	1147233 	1154734 e	1151742 e	1155919 
NR,TOTAL,T,UKM2	1938765 	1953468 	1969549 	1983494 	1997342 	2014403 	2029125 	2038225 	2047902 	2059154 e	2071557 e	2085169 
NR,TOTAL,T,UKM3	2284882 	2290746 	2300139 	2309167 	2317233 	2326753 	2332336 	2332594 	2335115 	2339246 e	2341746 e	2349308 
NR,TOTAL,T,UKM5	448538 	453837 	458850 	463461 	468596 	473634 	478251 	482610 	487127 	490534 e	494758 e	496536 
NR,TOTAL,T,UKM6	448945 	453028 	457438 	460799 	463388 	465794 	466545 	466686 	467313 	467566 e	468546 e	469148 
NR,TOTAL,T,UKN0	1735396 	1752366 	1770363 	1786187 	1799019 	1809539 	1818935 	1826656 	1837302 	1847100 e	1858540 e	1875228 
